timestamp_utc,interval_sec,metric,value,unit
2026-07-04 18:50:20+00:00,20,mem.active.average,50331648.0,KB
2026-07-04 18:50:20+00:00,20,mem.consumed.average,67108864.0,KB
2026-07-04 18:50:20+00:00,20,power.energy.summation,542.487,J
2026-07-04 18:50:20+00:00,20,power.power.average,27.124,W
2026-07-04 18:50:40+00:00,20,cpu.costop.summation,0.0,ms
2026-07-04 18:50:40+00:00,20,cpu.ready.summation,28.0,ms
2026-07-04 18:50:40+00:00,20,cpu.usagemhz.average,21.0,MHz
2026-07-04 18:50:40+00:00,20,mem.active.average,50331648.0,KB
2026-07-04 18:50:40+00:00,20,mem.consumed.average,67108864.0,KB
2026-07-04 18:50:40+00:00,20,power.energy.summation,214.008,J
2026-07-04 18:50:40+00:00,20,power.power.average,10.7,W
2026-07-04 18:51:00+00:00,20,cpu.costop.summation,0.0,ms
2026-07-04 18:51:00+00:00,20,cpu.ready.summation,29.0,ms
2026-07-04 18:51:00+00:00,20,cpu.usagemhz.average,23.0,MHz
2026-07-04 18:51:00+00:00,20,mem.active.average,50331648.0,KB
2026-07-04 18:51:00+00:00,20,mem.consumed.average,67108864.0,KB
2026-07-04 18:51:00+00:00,20,power.energy.summation,387.082,J
2026-07-04 18:51:00+00:00,20,power.power.average,19.354,W
2026-07-04 18:51:20+00:00,20,cpu.costop.summation,0.0,ms
2026-07-04 18:51:20+00:00,20,cpu.ready.summation,27.0,ms
2026-07-04 18:51:20+00:00,20,cpu.usagemhz.average,18.0,MHz
2026-07-04 18:51:20+00:00,20,mem.active.average,50331648.0,KB
2026-07-04 18:51:20+00:00,20,mem.consumed.average,67108864.0,KB
2026-07-04 18:51:20+00:00,20,power.energy.summation,435.746,J
2026-07-04 18:51:20+00:00,20,power.power.average,21.787,W
2026-07-04 18:51:40+00:00,20,cpu.costop.summation,0.0,ms
2026-07-04 18:51:40+00:00,20,cpu.ready.summation,27.0,ms
2026-07-04 18:51:40+00:00,20,cpu.usagemhz.average,21.0,MHz
2026-07-04 18:51:40+00:00,20,mem.active.average,50331648.0,KB
2026-07-04 18:51:40+00:00,20,mem.consumed.average,67108864.0,KB
2026-07-04 18:51:40+00:00,20,power.energy.summation,297.135,J
2026-07-04 18:51:40+00:00,20,power.power.average,14.856,W
2026-07-04 18:52:00+00:00,20,cpu.costop.summation,0.0,ms
2026-07-04 18:52:00+00:00,20,cpu.ready.summation,28.0,ms
2026-07-04 18:52:00+00:00,20,cpu.usagemhz.average,26.0,MHz
2026-07-04 18:52:00+00:00,20,mem.active.average,50331648.0,KB
2026-07-04 18:52:00+00:00,20,mem.consumed.average,67108864.0,KB
2026-07-04 18:52:00+00:00,20,power.energy.summation,570.434,J
2026-07-04 18:52:00+00:00,20,power.power.average,28.521,W
2026-07-04 18:52:20+00:00,20,cpu.costop.summation,0.0,ms
2026-07-04 18:52:20+00:00,20,cpu.ready.summation,31.0,ms
2026-07-04 18:52:20+00:00,20,cpu.usagemhz.average,27.0,MHz
2026-07-04 18:52:20+00:00,20,mem.active.average,50331648.0,KB
2026-07-04 18:52:20+00:00,20,mem.consumed.average,67108864.0,KB
2026-07-04 18:52:20+00:00,20,power.energy.summation,546.931,J
2026-07-04 18:52:20+00:00,20,power.power.average,27.346,W
2026-07-04 18:52:40+00:00,20,cpu.costop.summation,0.0,ms
2026-07-04 18:52:40+00:00,20,cpu.ready.summation,28.0,ms
2026-07-04 18:52:40+00:00,20,cpu.usagemhz.average,22.0,MHz
2026-07-04 18:52:40+00:00,20,mem.active.average,50331648.0,KB
2026-07-04 18:52:40+00:00,20,mem.consumed.average,67108864.0,KB
2026-07-04 18:52:40+00:00,20,power.energy.summation,540.755,J
2026-07-04 18:52:40+00:00,20,power.power.average,27.037,W
2026-07-04 18:53:00+00:00,20,cpu.costop.summation,0.0,ms
2026-07-04 18:53:00+00:00,20,cpu.ready.summation,29.0,ms
2026-07-04 18:53:00+00:00,20,cpu.usagemhz.average,21.0,MHz
2026-07-04 18:53:00+00:00,20,mem.active.average,50331648.0,KB
2026-07-04 18:53:00+00:00,20,mem.consumed.average,67108864.0,KB
2026-07-04 18:53:00+00:00,20,power.energy.summation,285.661,J
2026-07-04 18:53:00+00:00,20,power.power.average,14.283,W
2026-07-04 18:53:20+00:00,20,cpu.costop.summation,0.0,ms
